FB_SPEED,FB_LAP_DIST,FB_BRAKE,MB_LAP_DIST,MB_BRAKE,FS_DIST_FROM_LEFT,FS_SPEED,FS_LAP_DIST,FS_BRAKE,FS_STEERING,MS_DIST_FROM_LEFT,MS_SPEED,MS_LAP_DIST,MS_THROTTLE,MS_BRAKE,MS_STEERING,FT_DIST_FROM_LEFT,FT_SPEED,FT_LAP_DIST,FT_THROTTLE,MT_DIST_FROM_LEFT,MT_SPEED,MT_LAP_DIST,MT_THROTTLE,360_DIST_FROM_LEFT,360_SPEED,360_ANGLE_APEX_1,468_DIST_FROM_LEFT,468_SPEED,468_ANGLE_APEX_2,SECTION_TIME_MS,FB_LAP_DIST_FROM_APEX_1,FS_LAP_DIST_FROM_APEX_1,FT_LAP_DIST_FROM_APEX_1,MS_LAP_DIST_FROM_APEX_1,MS_LAP_DIST_FROM_APEX_2,MB_LAP_DIST_FROM_APEX_1,MT_LAP_DIST_FROM_APEX_1,MT_LAP_DIST_FROM_APEX_2
281,289.5746155,0.413733125,320.2063293,0.982986152,9.172698212,170,342.0390015,0.971068919,0.079972535,15.27297028,114,387.9726257,0.553902507,0.0,0.432364404,13.69734695,106,370.3686523,0.21614404,2.82800333,144,458.1914368,0.733928442,11.35203404,124,115.2195656,2.327477422,152,-99.07440652,12879,295.00135106,347.05841493,375.379361,385.823894826,393.3834251,325.47688199,319.88208981,460.3790835
307,233.3037109,0.111650266,285.5898438,0.622110307,9.889740254,186,328.7373047,0.558297098,0.118608378,9.919686767,128,408.0371094,0.409979403,0.0,0.264179438,19.17468706,121,369.6582031,0.295618117,0.475157304,183,514.2910156,0.810925484,16.6316669,129,128.5787615,3.584363692,168,-97.95301412,12352,239.0973637,334.18500788,374.48597148,370.16680898,410.08621390999997,291.22525164,268.8296363,476.32627488
304,252.5042877,0.631677747,307.282959,0.987365544,3.362986924,153,328.0812683,0.607736349,0.07557793,8.542140866,151,400.2304688,0.877622664,0.0,0.263538569,5.617728849,117,351.7270508,0.149675742,8.952843127,127,364.556427,1.0,7.725314715,124,106.0042038,0.097510591,190,-91.03914888,11993,257.8153097,332.0488981,355.05142237,375.85137629,403.49647347,311.87958453,367.95723399,375.00889970000003
311,285.9057617,0.495684266,309.0512695,1.0,3.350114,210,338.0664063,1.0,0.11833372,9.972938118,137,400.7099609,1.0,0.0,0.464316756,14.01951594,133,380.5224609,0.204821855,12.13478839,136,396.2944336,1.0,6.72367778,167,105.0818376,1.248748455,187,112.6971158,11167,290.64236574,341.54324361,382.256242956,376.53059547,403.33934665,313.36810381,380.778277803,398.91231906
310,279.6305237,0.483543158,301.7090149,1.0,3.031181985,207,335.5698853,1.0,0.112840466,7.893725967,155,402.2019348,0.0,0.0,0.535637438,5.789287738,170,357.2579651,0.336690307,3.889924262,156,411.5513611,1.0,6.405453282,171,104.370997,1.389101397,195,-95.95762269,10813,284.5024055,339.08305969,360.06103735,374.01586535,405.56922013,306.22333386,364.32376727999997,415.59262323999997
312,270.90625,0.551338971,308.7363281,1.0,2.100584394,223,323.9882813,0.592217922,0.121080339,8.36216703,173,401.8017578,0.0,0.129594877,0.597344935,4.219867337,194,348.4711914,0.544869125,0.2323761,170,426.7763672,1.0,7.119752164,194,105.3322434,1.226312845,188,-93.16892876,10753,275.87153539999997,327.75829945,351.51459722,374.62856839,405.01269293999997,313.01697942,349.54282049,430.61898613
234,324.7500916,0.564239562,356.5531616,0.564705908,3.684892791,230,327.9762573,0.476024359,0.077172503,4.227000873,133,414.93573,0.0,0.0,0.370069444,2.07862244,255,251.7586365,0.039215688,2.767383571,193,599.5060425,1.0,8.798897412,180,109.8919892,2.65100947,146,95.8049675,12705,328.88749483,332.0384902,256.9293126,361.61578647,418.55836461,360.44560352,196.7160751,394.7690665
307,289.5229492,0.538673639,321.3423767,0.73403883,1.436100425,303,204.3018646,0.0,0.080888078,3.538618338,168,412.6128235,0.823529422,0.138475627,1.0,10.90038579,180,391.5466919,0.357920587,9.520676918,159,425.9367676,1.0,6.26599976,215,105.345858,6.025523555,157,-102.8973569,12166,294.12005999,209.8087911,381.156978399,358.74870435,419.1250129,325.29880663,343.34899034,434.74761965
316,283.3812256,1.0,283.3812256,1.0,2.529693483,230,326.275238,1.0,0.093311638,11.13132921,161,400.6077271,0.307357073,0.0,0.385323018,9.250972596,174,363.8791809,0.242126107,12.85322021,161,398.2263794,1.0,7.275417872,177,107.0685093,1.639488649,194,95.74944404,10693,288.21354196,330.07641715,367.52351093,377.347022281,402.74775209,288.21354196,380.343654275,399.7838841
306,271.6557617,1.0,271.6557617,1.0,3.260104473,179,337.1347656,1.0,0.086501166,9.228263913,159,369.1298828,0.6529814,0.0,0.351190478,3.556790618,162,344.2182617,0.526881695,3.806573662,164,347.2319336,1.0,6.110223685,162,103.3282717,2.867840202,203,-86.71074406,10950,276.6788904,340.63529735,347.35290103,371.87567013,378.3380747,276.6788904,350.21646406,359.1030223
309,279.4472656,1.0,279.4472656,1.0,2.546013626,187,336.4511719,0.994134903,0.095305435,9.841043719,160,371.578125,1.0,0.0,0.37340799,4.958295696,167,356.8886719,1.0,3.639416245,175,349.9003906,1.0,5.725914192,168,102.70686,0.703759982,197,-97.0805668,10813,284.340352,339.74798031,359.33078409,374.14264498,380.4550001,284.340352,352.55696783,360.9245505
301,280.1630859,1.0,274.4697266,1.0,2.69186034,184,334.7851563,1.0,0.082360916,10.09991635,156,372.9140625,1.0,0.0,0.373526782,2.800261087,178,339.8037109,1.0,2.729385703,180,337.3154297,1.0,5.814676949,166,101.6550267,1.090859505,193,171.8205005,11005,285.1159972,338.22948092,342.97524313,375.27910105,381.5489756,279.4923417,340.62270687,350.98517100000004
319,278.2553711,0.41568628,316.128418,0.990787446,2.664809917,242,324.2763672,0.972549021,0.121118486,15.45811203,143,390.3095703,0.432885528,0.0,0.505569518,13.21271203,144,372.8369141,0.298039228,3.456647084,157,417.8378906,1.0,8.34154809,166,107.4752454,1.085759683,198,-95.59298428,10668,283.2205133,328.19449119,377.282908436,385.325367865,394.720889,320.27857405,358.7525027,421.45599300000003
318,272.9912109,0.403921574,344.078125,0.97647059,3.723962449,223,332.421875,0.949019611,0.095407031,16.41203527,149,387.9414063,0.107189536,0.138346866,0.467345685,12.19840433,153,369.4414063,0.23137255,1.040591814,169,434.2021484,1.0,8.759525685,167,108.1631479,1.121670152,193,-91.05976281,10718,277.9319519,336.31202418,373.84184222,386.743247585,393.5185074,347.75009666,343.11591013,437.13389646
317,271.7646484,0.407843143,315.5185547,0.97647059,2.250113512,225,327.6191406,0.97647059,0.076562144,14.66106737,162,387.4052734,0.360784322,0.0,0.707446396,6.009079334,171,356.8212891,0.009150326,0.415146251,176,433.2783203,1.0,6.634434467,170,105.3602385,3.62797466,198,-85.00443071,10974,276.6924583,331.28059077,359.78352284,385.219757589,392.9626612,319.55471591,343.84535538,436.41870096
320,278.9882813,0.325490206,319.4414063,0.972549021,2.832902872,224,335.0195313,0.972549021,0.128442809,14.15515169,151,381.9277344,0.109803922,0.0,0.697909534,12.53184247,153,375.5703125,0.090196081,1.102962219,157,427.2441406,1.0,7.242284889,173,104.1264474,0.353059489,191,-97.64308729,10841,283.8260156,338.49776375,378.543518565,383.051620258,389.4671763,323.42316536,349.53622396000003,430.71483673
